year_and_quarter,state,state_abbrev,mortality_per_100k
2020 Q1,Alabama,AL,21.6
2020 Q1,Alaska,AK,23.4
2020 Q1,Arizona,AZ,15.7
2020 Q1,Arkansas,AR,19.5
2020 Q1,California,CA,7.6
2020 Q1,Colorado,CO,14.8
2020 Q1,Connecticut,CT,5.5
2020 Q1,Delaware,DE,9.8
2020 Q1,District Of Columbia,DC,20.6
2020 Q1,Florida,FL,13.5
2020 Q1,Georgia,GA,16.1
2020 Q1,Hawaii,HI,4
2020 Q1,Idaho,ID,15.8
2020 Q1,Illinois,IL,10.9
2020 Q1,Indiana,IN,14.7
2020 Q1,Iowa,IA,9.7
2020 Q1,Kansas,KS,14.3
2020 Q1,Kentucky,KY,16.2
2020 Q1,Louisiana,LA,21.7
2020 Q1,Maine,ME,11.2
2020 Q1,Maryland,MD,12.3
2020 Q1,Massachusetts,MA,3.7
2020 Q1,Michigan,MI,12.7
2020 Q1,Minnesota,MN,8.4
2020 Q1,Mississippi,MS,23.1
2020 Q1,Missouri,MO,20.5
2020 Q1,Montana,MT,21
2020 Q1,Nebraska,NE,9.9
2020 Q1,Nevada,NV,16.1
2020 Q1,New Hampshire,NH,10.7
2020 Q1,New Jersey,NJ,4.2
2020 Q1,New Mexico,NM,23
2020 Q1,New York,NY,4.2
2020 Q1,North Carolina,NC,13.7
2020 Q1,North Dakota,ND,12.4
2020 Q1,Ohio,OH,13.5
2020 Q1,Oklahoma,OK,19.5
2020 Q1,Oregon,OR,13
2020 Q1,Pennsylvania,PA,12.4
2020 Q1,Rhode Island,RI,4.3
2020 Q1,South Carolina,SC,19.8
2020 Q1,South Dakota,SD,12
2020 Q1,Tennessee,TN,19
2020 Q1,Texas,TX,12.9
2020 Q1,Utah,UT,12.1
2020 Q1,Vermont,VT,11.2
2020 Q1,Virginia,VA,12.7
2020 Q1,Washington,WA,11.1
2020 Q1,West Virginia,WV,17.7
2020 Q1,Wisconsin,WI,10.7
2020 Q1,Wyoming,WY,25
2020 Q2,Alabama,AL,22.5
2020 Q2,Alaska,AK,23.3
2020 Q2,Arizona,AZ,15.2
2020 Q2,Arkansas,AR,21.7
2020 Q2,California,CA,7.7
2020 Q2,Colorado,CO,15.2
2020 Q2,Connecticut,CT,5.4
2020 Q2,Delaware,DE,11.5
2020 Q2,District Of Columbia,DC,21.5
2020 Q2,Florida,FL,13.4
