State,Annual Salary,Monthly Pay,Weeky Pay,Hourly Wage,Job Title
New York,98238,8186,1889,47.23,Data Analyst
New Jersey,84878,7073,1632,40.81,Data Analyst
Wisconsin,84340,7028,1621,40.55,Data Analyst
Nevada,83624,6968,1608,40.20,Data Analyst
Wyoming,83611,6967,1607,40.20,Data Analyst
Massachusetts,83473,6956,1605,40.13,Data Analyst
Indiana,82490,6874,1586,39.66,Data Analyst
Arizona,82463,6871,1585,39.65,Data Analyst
New Hampshire,82409,6867,1584,39.62,Data Analyst
Pennsylvania,82161,6846,1580,39.50,Data Analyst
Oregon,81828,6819,1573,39.34,Data Analyst
Minnesota,81303,6775,1563,39.09,Data Analyst
Washington,81244,6770,1562,39.06,Data Analyst
Georgia,81062,6755,1558,38.97,Data Analyst
Hawaii,80736,6728,1552,38.82,Data Analyst
Montana,79115,6592,1521,38.04,Data Analyst
Alaska,79092,6591,1521,38.03,Data Analyst
Iowa,78124,6510,1502,37.56,Data Analyst
Rhode Island,77290,6440,1486,37.16,Data Analyst
South Dakota,77115,6426,1482,37.07,Data Analyst
North Dakota,77057,6421,1481,37.05,Data Analyst
Connecticut,77036,6419,1481,37.04,Data Analyst
New Mexico,76401,6366,1469,36.73,Data Analyst
California,75874,6322,1459,36.48,Data Analyst
Ohio,75739,6311,1456,36.41,Data Analyst
Tennessee,74134,6177,1425,35.64,Data Analyst
Illinois,73973,6164,1422,35.56,Data Analyst
Utah,73901,6158,1421,35.53,Data Analyst
Vermont,72641,6053,1396,34.92,Data Analyst
Virginia,72494,6041,1394,34.85,Data Analyst
Maryland,72435,6036,1392,34.82,Data Analyst
Mississippi,71412,5951,1373,34.33,Data Analyst
Delaware,71386,5948,1372,34.32,Data Analyst
Colorado,71206,5933,1369,34.23,Data Analyst
West Virginia,70795,5899,1361,34.04,Data Analyst
Alabama,69689,5807,1340,33.50,Data Analyst
Florida,69613,5801,1338,33.47,Data Analyst
Maine,69468,5789,1335,33.40,Data Analyst
Oklahoma,68874,5739,1324,33.11,Data Analyst
South Carolina,68682,5723,1320,33.02,Data Analyst
