Index	Date	Time	Latitude	Longitude	Max Winds(kt)	SS HWS	Central Pressure(mb)	Landfall Country	Storm Names
5	8/7/1990	1700Z	20.9N	97.0W	85	2	980	Mexico	Diana
1991	None
4	8/23/1992	2100Z	25.4N	76.6W	140	5	923	Bahamas	Andrew
4	8/24/1992	0100Z	25.4N	77.8W	130	4	931	Bahamas	Andrew
8	9/20/1993	2100Z	21.2N	97.5W	85	2	970	Mexico	Gert
1994	None
13	9/5/1995	1200Z	17.5N	61.7W	115	3	945	Barbuda	Luis
15	9/14/1995	2100Z	15.5N	61.3W	70	1	984	Dominica	Marilyn
19	10/11/1995	0200Z	20.0N	87.6W	100	3	958	Mexico	Roxanne
2	7/8/1996	1600Z	18.5N	64.5W	75	1	978	British Virgin Islands	Bertha
3	7/28/1996	0400Z	12.2N	83.9W	75	1	985	Nicaragua	Cesar
4	8/20/1996	1730Z	19.1N	87.7W	65	1	999	Mexico	Dolly
4	8/23/1996	1200Z	21.6N	97.7W	70	1	989	Mexico	Dolly
8	9/10/1996	0600Z	18.0N	66.9W	70	1	989	Puerto Rico	Hortense
8	9/15/1996	0300Z	44.8N	62.5W	70	1	978	Canada	Hortense
12	10/18/1996	0930Z	22.3N	82.0W	85	2	975	Cuba	Lili
12	10/19/1996	0600Z	23.5N	76.2W	90	2	970	Bahamas	Lili
1997	None
7	9/21/1998	0430Z	17.0N	61.7W	100	3	966	Antigua	Georges
7	9/21/1998	0800Z	17.2N	62.6W	100	3	966	St. Kitts	Georges
7	9/21/1998	2200Z	18.1N	65.8W	100	3	968	Puerto Rico	Georges
7	9/22/1998	1230Z	18.2N	68.7W	105	3	962	Dominican Republic	Georges
7	9/23/1998	2130Z	20.1N	74.5W	65	1	993	Cuba	Georges
13	10/29/1998	1200Z	15.9N	85.7W	70	1	987	Honduras	Mitch
5	8/28/1999	0700Z	26.6N	76.8W	75	1	976	Bahamas	Dennis
8	9/14/1999	1200Z	25.4N	76.3W	105	3	930	Bahamas	Floyd
8	9/14/1999	1900Z	26.3N	77.1W	120	4	932	Bahamas	Floyd
14	10/20/1999	1600Z	17.1N	61.7W	80	1	982	Antigua	Jose
16	11/17/1999	1800Z	17.4N	64.8W	135	4	933	US Virgin Islands	Lenny
16	11/18/1999	1800Z	18.0N	63.3W	110	3	966	St. Martin	Lenny
16	11/19/1999	0000Z	18.1N	63.1W	85	2	975	Antigua	Lenny
16	11/19/1999	0600Z	18.0N	62.9W	75	1	971	St. Barthelemy	Lenny
2000s
7	8/22/2000	0600Z	17.5N	61.7W	65	1	993	Barbuda	Debby
7	8/22/2000	0915Z	17.9N	62.8W	65	1	993	St. Barthelemy	Debby
7	8/22/2000	1500Z	18.5N	64.4W	65	1	994	British Virgin Islands	Debby
15	10/2/2000	2300Z	17.9N	88.0W	65	1	988	Belize	Keith
15	10/5/2000	1800Z	22.6N	97.9W	80	1	980	Mexico	Keith
11	10/9/2001	0200Z	16.3N	88.4W	125	4	948	Belize	Iris
15	11/4/2001	1800Z	21.5N	81.8W	120	4	949	Cuba	Michelle
15	11/4/2001	2300Z	22.1N	81.2W	115	4	950	Cuba	Michelle
15	11/5/2001	1200Z	24.3N	78.0W	80	1	973	Bahamas	Michelle
15	11/5/2001	1800Z	25.4N	76.4W	75	1	980	Bahamas	Michelle
8	9/12/2002	0430Z	45.6N	60.4W	80	1	960	Canada	Gustav
8	9/12/2002	0900Z	47.6N	58.6W	65	1	963	Canada	Gustav
10	9/20/2002	2100Z	22.0N	84.1W	75	1	964	Cuba	Isidore
10	9/22/2002	2100Z	21.3N	89.3W	110	3	936	Mexico	Isidore
13	9/30/2002	1400Z	19.7N	79.8W	65	1	986	Cayman Islands	Lili
13	10/1/2002	1100Z	21.3N	83.0W	90	1	971	Cuba	Lili
13	10/1/2002	1400Z	22.1N	84.0W	90	1	971	Cuba	Lili
8	8/16/2003	1030Z	25.3N	97.4W	65	1	986	Mexico	Erika
15	9/29/2003	0300Z	44.4N	63.8W	85	2	973	Canada	Juan
3	8/13/2004	0430Z	22.7N	82.6W	105	3	966	Cuba	Charley
6	9/2/2004	1930Z	24.0N	74.5W	110	3	948	Bahamas	Frances
6	9/3/2004	0530Z	24.6N	75.6W	100	3	954	Bahamas	Frances
6	9/3/2004	1000Z	25.1N	76.1W	95	2	956	Bahamas	Frances
6	9/4/2004	1000Z	26.6N	78.2W	90	2	961	Bahamas	Frances
11	9/16/2004	1100Z	18.6N	68.3W	70	1	985	Dominican Republic	Jeanne
11	9/25/2004	1400Z	26.7N	77.3W	100	3	956	Bahamas	Jeanne
4	7/8/2005	0245Z	19.9N	77.6W	120	4	956	Cuba	Dennis
4	7/8/2005	1845Z	22.1N	80.7W	120	4	941	Cuba	Dennis
5	7/14/2005	0700Z	12.0N	61.8W	75	1	989	Grenada	Emily
5	7/18/2005	0630Z	20.3N	87.4W	115	4	955	Mexico	Emily
5	7/20/2005	1200Z	24.8N	97.6W	110	3	944	Mexico	Emily
20	10/4/2005	1200Z	18.6N	94.9W	70	1	977	Mexico	Stan
25	10/21/2005	2145Z	20.6N	86.8W	130	4	927	Mexico	Wilma
25	10/22/2005	0330Z	20.8N	86.9W	115	4	933	Mexico	Wilma
27	10/30/2005	1200Z	12.9N	83.5W	90	2	970	Nicaragua	Beta
2006	None
4	8/21/2007	0830Z	18.7N	87.7W	150	5	905	Mexico	Dean
4	8/22/2007	1630Z	20.5N	97.0W	85	2	974	Mexico	Dean
6	9/4/2007	1200Z	14.3N	84.4W	140	5	934	Nicaragua	Felix
13	9/28/2007	0500Z	20.5N	97.0W	65	1	993	Mexico	Lorenzo
7	8/26/2008	1800Z	18.1N	72.8W	70	1	992	Haiti	Gustav
