State	Average Number of households (2019-2021)	Interviewed	Low food security prevalence	Low food security margin of error	Very low food security prevalence	Very low food security margin of error
AK	269,000	1,203	9.5	1.93	4.0	1.35	
AL	2,039,000	1,764	13.1	2.12	4.6	1.15	
AR	1,289,000	1,728	15.0	1.86	6.3	1.05	
AZ	2,929,000	1,624	10.1	1.77	3.1	0.86	
CA	14,165,000	8,100	9.6	0.55	3.5	0.40	
CO	2,345,000	1,034	10.5	1.96	3.8	1.12	
CT	1,441,000	837	9.6	2.03	4.2	1.30	
DC	342,000	2,019	9.0	1.27	2.8	0.75	
DE	387,000	1,016	11.2	2.23	4.1	1.34	
FL	9,274,000	4,079	9.9	0.93	3.8	0.55	
GA	4,179,000	2,075	9.9	1.37	3.9	1.00	
HI	487,000	1,331	9.1	1.53	3.1	0.93	
IA	1,316,000	1,204	7.0	1.75	2.3	0.99	
ID	695,000	1,795	9.8	1.31	3.9	0.85	
IL	5,015,000	2,789	9.4	1.08	4.0	0.74	
IN	2,757,000	1,728	9.7	1.33	4.5	0.93	
KS	1,157,000	1,297	10.2	1.44	4.2	1.12	
KY	1,867,000	1,196	12.3	1.80	4.4	1.18	
LA	1,880,000	2,181	14.5	1.57	5.7	0.87	
MA	2,812,000	1,879	8.4	1.20	3.2	0.77	
MD	2,301,000	1,214	8.7	1.53	2.9	0.93	
ME	571,000	911	9.5	1.70	4.5	0.77	
MI	4,142,000	2,307	11.4	1.50	4.6	0.79	
MN	2,303,000	1,428	7.4	1.62	2.8	1.02	
MO	2,503,000	1,607	12.0	1.87	5.6	1.22	
MS	1,174,000	2,061	15.3	2.04	5.5	1.06	
MT	474,000	1,997	10.4	1.53	4.7	0.96	
NC	4,450,000	2,125	10.9	1.45	3.6	0.71	
ND	331,000	1,641	7.7	1.25	1.8	0.64	
NE	792,000	1,123	10.6	1.63	4.6	1.17	
NH	554,000	1,431	5.4	1.21	2.0	0.71	
NJ	3,426,000	1,963	8.3	1.26	2.7	0.84	
NM	865,000	1,886	11.5	2.71	4.5	1.74	
NV	1,220,000	1,410	10.2	1.45	4.2	1.04	
NY	7,774,000	3,690	10.3	0.99	3.5	0.62	
OH	4,816,000	2,605	10.8	1.21	4.6	0.96	
OK	1,591,000	1,449	13.8	2.00	4.4	0.91	
OR	1,761,000	1,805	10.3	1.45	3.9	0.89	
PA	5,063,000	2,643	9.2	1.09	3.8	0.60	
RI	430,000	925	8.4	1.82	2.6	0.87	
SC	2,180,000	1,510	12.6	1.52	5.9	1.28	
SD	367,000	1,174	8.7	1.43	3.7	1.00	
TN	2,826,000	2,081	11.2	1.19	4.5	0.73	
TX	10,766,000	5,141	13.7	0.91	5.0	0.58	
UT	1,139,000	1,329	11.2	1.49	3.9	1.16	
VA	3,412,000	1,838	7.8	1.24	3.1	0.72	
VT	279,000	1,553	7.9	1.23	2.8	0.81	
WA	3,096,000	1,960	7.9	1.05	3.0	0.68	
WI	2,483,000	1,628	9.9	1.74	3.1	0.90	
WV	740,000	1,974	14.0	3.04	5.2	1.02	
WY	233,000	1,506	11.2	1.46	4.7	0.91	
